,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_decay,param_n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,33.81435356140137,3.59677803684957,1.0693632125854493,0.21936795811795973,0.5,4,"{'learning_decay': 0.5, 'n_components': 4}",-275755.02283161634,-277224.7824220316,-266714.83866657095,-259172.54937036437,-267978.1027019466,-269369.059198506,6564.16602731684,3
1,27.29509620666504,2.244469960186393,0.8587660312652587,0.09101802940452704,0.5,6,"{'learning_decay': 0.5, 'n_components': 6}",-279589.80939066864,-291793.21853113687,-280654.33442424826,-269960.50200836186,-279786.82588048046,-280356.93804697925,6926.418302128777,8
2,28.71412034034729,5.1886987076672195,1.1356686115264893,0.3006764128757002,0.5,8,"{'learning_decay': 0.5, 'n_components': 8}",-288126.7048513333,-292544.594437583,-278469.3949533263,-270263.7641414227,-279816.9230496498,-281844.276286663,7791.969762632341,9
3,33.43513584136963,5.646521038974016,0.9844367504119873,0.17615280202672923,0.5,10,"{'learning_decay': 0.5, 'n_components': 10}",-283949.86050319753,-305320.29304683977,-285853.5636233237,-277708.6589439629,-287240.049561301,-288014.485135725,9246.52958245691,11
4,40.03755574226379,13.098625274762142,1.574286985397339,0.7136406322932036,0.7,4,"{'learning_decay': 0.7, 'n_components': 4}",-268910.6433561789,-273712.7239301635,-263540.8255225142,-255503.4409799139,-264781.87098881346,-265289.9009555168,6052.204235907241,2
5,32.62327513694763,6.680593886913809,0.9264037609100342,0.1665489787345386,0.7,6,"{'learning_decay': 0.7, 'n_components': 6}",-274722.99766199966,-293209.65370101295,-280270.27221117675,-270721.93995458726,-280260.97927834047,-279837.16856142343,7595.1654313404315,7
6,25.395338249206542,3.844337760395426,0.9966606616973877,0.4789889685371436,0.7,8,"{'learning_decay': 0.7, 'n_components': 8}",-287448.62241522217,-286541.11875286803,-271417.35923366045,-263728.9589450089,-273214.2750986761,-276470.0668890871,9169.739729782552,4
7,25.467699480056762,5.314488979166425,0.7299787044525147,0.11846867332817117,0.7,10,"{'learning_decay': 0.7, 'n_components': 10}",-283349.66692919494,-290764.2531189672,-276985.03924710065,-268804.40647571365,-277977.52976278204,-279576.17910675175,7276.16631971763,5
8,19.410020971298216,1.0752088933209598,0.6112822532653809,0.011995749728622851,0.9,4,"{'learning_decay': 0.9, 'n_components': 4}",-269002.3244582718,-273225.03615699516,-261837.85425813904,-253624.77223450213,-262683.84964045964,-264074.76734967355,6695.506978037284,1
9,22.175432443618774,3.4120645501383935,0.7309584617614746,0.12248579886247599,0.9,6,"{'learning_decay': 0.9, 'n_components': 6}",-278703.78282223677,-297254.507731813,-278015.321027823,-267257.324614609,-277531.3020634352,-279752.4476519834,9710.829020388845,6
10,18.833057022094728,2.027676265271197,0.6930237293243409,0.0553188519314551,0.9,8,"{'learning_decay': 0.9, 'n_components': 8}",-296843.720873635,-295062.5103530532,-282428.7398828601,-274296.6677751322,-283630.6161710877,-286452.4510111537,8414.602550514757,10
11,19.456025314331054,1.9085177864764409,0.6466054439544677,0.025417720203690323,0.9,10,"{'learning_decay': 0.9, 'n_components': 10}",-304802.3532824133,-310363.7766746671,-297593.9972669234,-289543.72196663835,-298793.3434887752,-300219.43853588344,7025.785608100218,12
