,Topic,Topic Count,Topic_Name
0,19,2378,Spoilers
1,14,2313,Scene<br>Opinions
2,3,2150,Cast
3,4,2111,Hopper<br>in<br>Russia
4,2,1842,Release<br>Season 4
5,15,1662,Theories
6,6,1612,"Steve,Nancy,<br>Dustin,Robin"
7,17,1594,Binge<br>Watch
8,18,1568,Dear<br>Billy
9,11,1490,Vecna
10,12,1409,Eddie<br>Metallica
11,13,1366,Dr Brenner<br>Powers
12,8,1342,Will &<br>Mike 
13,10,1334,Final<br>Episode
14,16,1245,Upside<br>Down
15,1,1180,Mind<br>Flayer
16,9,1108,Hawkins<br>Portal
17,7,1065,Favorite<br>Characters
18,5,971,Kate Bush<br>Soundrack
19,0,920,Season<br>Finale
